#gluster volume status g_sftp1 clients
Client connections for volume g_sftp1
----------------------------------------------
Brick : gstorage-60-3.zue.alipay.com:/data/sftp1
Clients connected : 189
Hostname                                               BytesRead    BytesWritten
--------                                               ---------    ------------
10.214.48.36:1014                                   584149145225    139460278791
10.228.126.40:1013                                   36983859952     53703329981
10.228.12.119:1019                                        302988          357436
10.228.2.38:1011                                   2863023048245    596220899915
10.190.12.53:717                                            3356            2740
10.190.12.53:716                                            2320            2072
10.190.12.43:718                                            3424            2780
10.190.12.19:752                                            3232            2616
10.190.12.51:725                                            3356            2740
10.190.12.41:739                                            3232            2616
10.190.12.10:757                                            3356            2740
10.190.12.60:801                                            3232            2616
10.190.12.55:789                                            3232            2616
10.190.12.27:754                                            3356            2740
10.190.12.48:735                                            3232            2616
10.190.12.26:765                                            3356            2740
10.190.12.30:765                                            3232            2616
10.190.12.47:797                                            3232            2616
10.190.12.31:769                                            3356            2740
10.228.211.191:884                                          3224            2616
10.190.12.36:996                                            3356            2740
10.190.12.38:789                                            3356            2740
10.190.12.52:856                                            3356            2740
10.190.12.8:809                                             3356            2740
10.190.12.54:800                                            3356            2740
10.190.12.15:799                                            3356            2740
10.190.12.57:831                                            3356            2740
10.190.12.28:805                                            3356            2740
10.190.12.46:762                                            3356            2740
10.190.12.43:694                                            2320            2072
10.190.12.29:811                                            3356            2740
10.190.12.56:803                                            3356            2740
10.190.12.51:700                                            2320            2072
10.190.12.48:701                                            2320            2072
10.228.211.17:899                                           3356            2740
10.190.12.27:700                                            2320            2072
10.190.12.10:693                                            2320            2072
10.190.12.19:697                                            2320            2072
10.190.12.41:690                                            2320            2072
10.190.12.26:698                                            2320            2072
10.190.12.30:698                                            2320            2072
10.190.12.55:699                                            2320            2072
10.190.12.42:847                                      4272077446      2885827053
10.190.12.47:694                                            2320            2072
10.190.12.60:697                                            2320            2072
10.190.12.31:696                                            2320            2072
10.190.12.38:692                                            2320            2072
10.190.12.52:930                                            2320            2072
10.228.211.191:734                                          2312            2072
10.190.12.8:697                                             2320            2072
10.190.12.28:697                                            2320            2072
10.190.12.29:698                                            2320            2072
10.190.12.56:692                                            2320            2072
10.190.12.35:720                                            2320            2072
10.190.12.57:694                                            2320            2072
10.190.12.36:696                                            2320            2072
10.228.211.17:678                                           2320            2072
10.190.12.46:568                                            2320            2072
10.190.12.15:573                                            2320            2072
10.190.12.54:567                                            2320            2072
10.190.12.35:889                                            3232            2616
10.190.12.42:685                                            2320            2072
10.190.12.59:944                                            3108            2492
10.190.12.59:775                                             932             564
10.225.177.40:876                                            844             436
10.212.20.12:805                                             844             436
10.225.176.249:835                                          1076             684
10.212.20.17:809                                            1076             684
10.225.177.18:884                                           1076             684
10.225.176.153:833                                          1076             684
10.225.177.90:855                                           1076             684
10.225.177.231:849                                          1076             684
10.225.177.238:831                                           844             436
10.212.18.20:844                                            1076             684
10.225.177.42:872                                            844             436
10.225.176.153:870                                           844             436
10.225.0.184:858                                             844             436
10.225.177.184:878                                          1076             684
10.225.177.138:821                                          1076             684
10.225.177.138:817                                           844             436
10.212.18.17:826                                             844             436
10.212.20.11:962                                             844             436
10.212.18.11:919                                            1076             684
10.212.18.11:915                                             844             436
10.225.177.231:791                                           844             436
10.212.18.19:883                                             844             436
10.215.105.175:1014                                        25412           26784
10.212.18.21:781                                            1076             684
10.212.18.14:880                                             844             436
10.212.18.22:836                                            1076             684
10.212.18.15:780                                             844             436
10.212.18.13:785                                             844             436
10.212.20.29:772                                            1076             684
10.212.20.13:773                                            1076             684
10.212.18.29:774                                             844             436
10.225.177.137:1003                                         1076             684
10.212.18.12:854                                            1076             684
10.225.87.147:1015                                 2171302371479   1510621079392
10.212.20.26:1016                                           1076             684
10.212.18.27:910                                             844             436
10.212.18.24:889                                            1076             684
10.212.18.17:856                                            1076             684
10.225.177.159:912                                          1076             684
10.225.177.40:834                                           1076             684
10.212.20.16:1009                                           1076             684
10.212.18.23:836                                            1076             684
10.212.18.13:834                                            1076             684
10.212.20.13:827                                             844             436
10.212.18.14:1007                                           1076             684
10.225.176.248:841                                          1076             684
10.225.177.210:842                                          1076             684
10.212.18.16:850                                             844             436
10.212.18.20:820                                             844             436
10.225.177.63:864                                           1076             684
10.225.177.186:855                                          1076             684
10.225.177.113:860                                          1076             684
10.212.18.29:815                                            1076             684
10.225.176.224:920                                          1076             684
10.225.176.248:787                                           844             436
10.212.20.28:816                                            1076             684
10.225.177.161:783                                          1076             684
10.212.20.21:865                                             844             436
10.212.18.21:870                                             844             436
10.212.18.22:859                                             844             436
10.212.18.19:778                                            1076             684
10.212.18.12:776                                             844             436
10.225.177.90:860                                            844             436
10.225.177.237:841                                           844             436
10.225.177.159:840                                           844             436
10.212.18.25:781                                            1076             684
10.212.18.25:780                                             844             436
10.212.20.21:828                                            1076             684
10.212.18.24:810                                             844             436
10.225.177.240:832                                           844             436
10.225.177.16:795                                           1076             684
10.225.177.237:840                                          1076             684
10.212.18.23:828                                             844             436
10.225.177.16:794                                            844             436
10.225.177.238:876                                          1076             684
10.212.18.18:822                                             844             436
10.225.176.225:897                                           844             436
10.212.20.16:999                                             844             436
10.212.20.17:881                                             844             436
10.225.0.184:1022                                           1076             684
10.225.176.200:834                                          1076             684
10.225.176.200:842                                           844             436
10.225.176.224:901                                           844             436
10.225.177.186:853                                           844             436
10.212.20.28:783                                             844             436
10.212.18.18:823                                            1076             684
10.225.176.102:868                                          1076             684
10.212.20.26:771                                             844             436
10.225.177.236:801                                           844             436
10.225.177.63:836                                            844             436
10.225.177.161:782                                           844             436
10.212.18.26:937                                             844             436
10.212.18.30:811                                            1076             684
10.225.177.137:806                                           844             436
10.225.176.249:777                                           844             436
10.212.18.16:840                                            1076             684
10.225.176.201:860                                           844             436
10.212.18.15:818                                            1076             684
10.225.177.18:859                                            844             436
10.225.177.42:859                                           1076             684
10.212.18.27:774                                            1076             684
10.212.20.11:924                                            1076             684
10.225.176.225:922                                          1076             684
10.225.177.210:840                                           844             436
10.225.177.184:783                                           844             436
10.212.20.29:807                                             844             436
10.225.177.240:830                                          1076             684
10.225.177.236:802                                          1076             684
10.225.177.113:832                                           844             436
10.212.18.30:852                                             844             436
10.225.176.102:849                                           844             436
10.212.20.12:966                                            1076             684
10.225.177.66:852                                     3035745054      1753449584
10.212.18.26:991                                      2552023246      1737954632
10.225.177.66:851                                            844             436
10.225.176.201:883                                          1076             684
10.208.15.146:1006                                  340029456512   2478333205559
10.208.0.33:1009                                    224722629340   2354021362760
10.208.0.32:1007                                    256676432362   2330459791760
10.208.0.34:1013                                    252568981504   2573355289891
10.208.15.154:1019                                  339190587099   2612168582559
10.208.32.41:1001                                   226983952083   1810166776587
10.208.32.42:1003                                   218170241801   1554249081351
10.208.32.43:1002                                   257219875647   1638557882963
10.208.47.96:1004                                   264315765374   1463836857949
----------------------------------------------
Brick : gstorage-70-3.ztg.alipay.com:/data/sftp1
Clients connected : 189
Hostname                                               BytesRead    BytesWritten
--------                                               ---------    ------------
10.225.87.147:1011                                 3581988419614   3416598832145
10.215.105.175:1008                                        76964           81208
10.225.177.184:732                                          3108            2492
10.225.177.18:751                                           3108            2492
10.225.177.236:760                                          3108            2492
10.225.177.210:812                                          3108            2492
10.225.177.113:784                                          3108            2492
10.225.177.42:786                                           3108            2492
10.225.176.200:786                                          3108            2492
10.225.177.186:796                                          3108            2492
10.225.177.40:836                                           3108            2492
10.225.176.224:798                                          3300            2656
10.225.176.201:808                                          3108            2492
10.225.176.249:795                                          3108            2492
10.225.176.248:754                                          3108            2492
10.225.177.240:808                                          3108            2492
10.225.176.153:814                                          3108            2492
10.225.177.16:799                                           3108            2492
10.225.177.90:892                                           3108            2492
10.225.176.225:802                                          3108            2492
10.225.177.237:869                                          3108            2492
10.225.177.137:802                                          3108            2492
10.225.177.161:804                                          3108            2492
10.225.177.63:813                                           3108            2492
10.225.177.159:856                                          3108            2492
10.225.177.231:789                                          3108            2492
10.225.177.138:811                                          3108            2492
10.225.176.102:807                                          3108            2492
10.225.177.238:802                                          3108            2492
10.225.177.184:689                                          2320            2072
10.225.177.18:691                                           2320            2072
10.225.177.210:748                                          2320            2072
10.225.177.236:692                                          2320            2072
10.225.176.248:689                                          2320            2072
10.225.176.200:690                                          2320            2072
10.225.177.42:684                                           2320            2072
10.225.176.224:690                                          2320            2072
10.225.176.249:689                                          2320            2072
10.225.177.113:692                                          2320            2072
10.225.177.186:700                                          2320            2072
10.225.177.16:687                                           2320            2072
10.225.176.201:693                                          2320            2072
10.225.177.137:696                                          2320            2072
10.225.176.225:691                                          2320            2072
10.225.176.153:694                                          2320            2072
10.225.177.240:685                                          2320            2072
10.225.177.161:689                                          2320            2072
10.225.177.231:677                                          2320            2072
10.225.177.159:740                                          2320            2072
10.225.177.40:737                                           2320            2072
10.225.177.63:696                                           2320            2072
10.225.177.138:692                                          2320            2072
10.225.177.238:689                                          2320            2072
10.225.0.184:847                                            3108            2492
10.225.176.102:683                                          2320            2072
10.225.177.90:685                                           2320            2072
10.225.177.237:723                                          2320            2072
10.225.0.184:684                                            2320            2072
10.225.177.66:890                                     3327110176      3376059566
10.225.177.66:616                                           2320            2072
10.212.20.12:856                                             844             436
10.212.18.13:850                                             844             436
10.212.18.23:849                                             844             436
10.212.20.29:906                                             844             436
10.212.18.16:832                                             844             436
10.212.18.22:866                                            1460            1012
10.212.20.28:851                                             844             436
10.212.18.15:856                                             844             436
10.212.20.17:864                                            1460            1012
