[4448322.298111] tg3 0000:03:00.0: eth0: 0x00000830: 0x00000000, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298114] tg3 0000:03:00.0: eth0: 0x00000840: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298116] tg3 0000:03:00.0: eth0: 0x00000850: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298119] tg3 0000:03:00.0: eth0: 0x00000860: 0xffffffff, 0xffffffff, 0xffffffff, 0x00000000
[4448322.298122] tg3 0000:03:00.0: eth0: 0x00000880: 0x00004444, 0x00000000, 0x00000000, 0x00000000
[4448322.298124] tg3 0000:03:00.0: eth0: 0x00000890: 0x00000005, 0x00000102, 0x00000000, 0x00000000
[4448322.298127] tg3 0000:03:00.0: eth0: 0x000008f0: 0x00000001, 0x00000000, 0x00000000, 0x00000000
[4448322.298130] tg3 0000:03:00.0: eth0: 0x00000900: 0x00000000, 0xffffffff, 0x00000000, 0x00000000
[4448322.298132] tg3 0000:03:00.0: eth0: 0x00000910: 0x00000000, 0xffffffff, 0x00000000, 0x00000000
[4448322.298135] tg3 0000:03:00.0: eth0: 0x00000920: 0x00000000, 0x00000000, 0xffffffff, 0x00000000
[4448322.298137] tg3 0000:03:00.0: eth0: 0x00000930: 0x00000000, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298140] tg3 0000:03:00.0: eth0: 0x00000940: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298143] tg3 0000:03:00.0: eth0: 0x00000950: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298145] tg3 0000:03:00.0: eth0: 0x00000960: 0xffffffff, 0xffffffff, 0xffffffff, 0x00000000
[4448322.298148] tg3 0000:03:00.0: eth0: 0x00000980: 0x000006ff, 0x00000000, 0x00000000, 0x00000000
[4448322.298151] tg3 0000:03:00.0: eth0: 0x00000990: 0x00000005, 0x00000102, 0x00000000, 0x00000000
[4448322.298153] tg3 0000:03:00.0: eth0: 0x00000c00: 0x0000000a, 0x00000004, 0x00000003, 0x00000001
[4448322.298156] tg3 0000:03:00.0: eth0: 0x00000c10: 0x00000000, 0x00000000, 0x00000000, 0x00360000
[4448322.298159] tg3 0000:03:00.0: eth0: 0x00000ce0: 0x90a4ecda, 0x00000006, 0x00000036, 0x00040028
[4448322.298161] tg3 0000:03:00.0: eth0: 0x00000cf0: 0x00000000, 0x50000074, 0x00000000, 0x00000000
[4448322.298164] tg3 0000:03:00.0: eth0: 0x00001000: 0x00000002, 0x00000000, 0xa0004d4d, 0x00000000
[4448322.298167] tg3 0000:03:00.0: eth0: 0x00001010: 0x01f41f42, 0x00004d4d, 0x00000000, 0x00000000
[4448322.298170] tg3 0000:03:00.0: eth0: 0x00001400: 0x00000006, 0x00000000, 0x00000000, 0x00000000
[4448322.298172] tg3 0000:03:00.0: eth0: 0x00001440: 0x00000140, 0x000001f4, 0x0000013c, 0x0000015f
[4448322.298175] tg3 0000:03:00.0: eth0: 0x00001480: 0x00004431, 0x00000000, 0x00000000, 0x00000000
[4448322.298178] tg3 0000:03:00.0: eth0: 0x00001800: 0x00000036, 0x00000000, 0x00000140, 0x000001f4
[4448322.298180] tg3 0000:03:00.0: eth0: 0x00001810: 0x0000013c, 0x0000015f, 0x00000000, 0x00000000
[4448322.298183] tg3 0000:03:00.0: eth0: 0x00001830: 0x00000000, 0x00000000, 0x00000000, 0xf0430000
[4448322.298186] tg3 0000:03:00.0: eth0: 0x00001840: 0xeec6c000, 0x0000001f, 0x00000203, 0xc0000000
[4448322.298188] tg3 0000:03:00.0: eth0: 0x00001850: 0x0000001f, 0x00000000, 0x00004730, 0x013c01f4
[4448322.298191] tg3 0000:03:00.0: eth0: 0x00001860: 0x0100b800, 0x00000000, 0xf0323f30, 0x0000001f
[4448322.298194] tg3 0000:03:00.0: eth0: 0x00001c00: 0x00000002, 0x00000000, 0x00000000, 0x00000000
[4448322.298197] tg3 0000:03:00.0: eth0: 0x00002000: 0x00000002, 0x00000010, 0x00000000, 0x00000000
[4448322.298199] tg3 0000:03:00.0: eth0: 0x00002010: 0x00000181, 0x00000001, 0x00780003, 0x00000000
[4448322.298202] tg3 0000:03:00.0: eth0: 0x00002100: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298205] tg3 0000:03:00.0: eth0: 0x00002110: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298207] tg3 0000:03:00.0: eth0: 0x00002120: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298210] tg3 0000:03:00.0: eth0: 0x00002130: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298212] tg3 0000:03:00.0: eth0: 0x00002140: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298215] tg3 0000:03:00.0: eth0: 0x00002150: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298218] tg3 0000:03:00.0: eth0: 0x00002160: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298220] tg3 0000:03:00.0: eth0: 0x00002170: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298223] tg3 0000:03:00.0: eth0: 0x00002180: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298225] tg3 0000:03:00.0: eth0: 0x00002190: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298228] tg3 0000:03:00.0: eth0: 0x000021a0: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298231] tg3 0000:03:00.0: eth0: 0x000021b0: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298233] tg3 0000:03:00.0: eth0: 0x000021c0: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298236] tg3 0000:03:00.0: eth0: 0x000021d0: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298238] tg3 0000:03:00.0: eth0: 0x000021e0: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298241] tg3 0000:03:00.0: eth0: 0x000021f0: 0x000d8cc6, 0x000d309a, 0x000000f8, 0x00000000
[4448322.298244] tg3 0000:03:00.0: eth0: 0x00002250: 0x00000103, 0x00000000, 0x00000000, 0x00000000
[4448322.298246] tg3 0000:03:00.0: eth0: 0x00002400: 0x00010012, 0x00000000, 0x00480010, 0x00000000
[4448322.298249] tg3 0000:03:00.0: eth0: 0x00002410: 0x0000000f, 0x00005d00, 0x00000000, 0x00000000
